Mon Nov 11 18:01:28 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.100                Driver Version: 550.100        CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA RTX A5000               On  |   00000000:01:00.0 Off |                  Off |
| 30%   19C    P8             18W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA RTX A5000               On  |   00000000:41:00.0 Off |                  Off |
| 30%   17C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   2  NVIDIA RTX A5000               On  |   00000000:81:00.0 Off |                  Off |
| 30%   18C    P8             15W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   3  NVIDIA RTX A5000               On  |   00000000:C1:00.0 Off |                  Off |
| 30%   18C    P8             17W /  230W |       2MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
#"Progress (%)"	"Step"	"Time (ps)"	"Speed (ns/day)"	"Time Remaining"
85200.0%	852000	3003.0799999571527	0	--
85250.0%	852500	3005.0799999571054	249	23:40:19
85300.0%	853000	3007.079999957058	244	23:39:56
85350.0%	853500	3009.079999957011	274	23:42:06
85400.0%	854000	3011.0799999569635	292	23:43:10
85450.0%	854500	3013.0799999569163	303	23:43:49
85500.0%	855000	3015.079999956869	312	23:44:16
85550.0%	855500	3017.0799999568217	300	23:43:36
85600.0%	856000	3019.0799999567744	307	23:43:58
85650.0%	856500	3021.079999956727	312	23:44:14
85700.0%	857000	3023.07999995668	317	23:44:27
85750.0%	857500	3025.0799999566325	321	23:44:38
85800.0%	858000	3027.079999956585	312	23:44:12
85850.0%	858500	3029.079999956538	316	23:44:22
85900.0%	859000	3031.0799999564906	319	23:44:31
85950.0%	859500	3033.0799999564433	322	23:44:39
86000.0%	860000	3035.079999956396	324	23:44:45
86050.0%	860500	3037.0799999563487	318	23:44:27
86100.0%	861000	3039.0799999563014	320	23:44:33
86150.0%	861500	3041.079999956254	322	23:44:38
86200.0%	862000	3043.079999956207	324	23:44:43
86250.0%	862500	3045.0799999561596	326	23:44:47
86300.0%	863000	3047.0799999561123	321	23:44:33
86350.0%	863500	3049.079999956065	323	23:44:37
86400.0%	864000	3051.0799999560177	324	23:44:41
86450.0%	864500	3053.0799999559704	326	23:44:44
86500.0%	865000	3055.079999955923	322	23:44:32
86550.0%	865500	3057.079999955876	323	23:44:35
86600.0%	866000	3059.0799999558285	324	23:44:39
86650.0%	866500	3061.079999955781	326	23:44:42
86700.0%	867000	3063.079999955734	327	23:44:45
86750.0%	867500	3065.0799999556866	323	23:44:34
86800.0%	868000	3067.0799999556393	325	23:44:37
86850.0%	868500	3069.079999955592	326	23:44:40
86900.0%	869000	3071.0799999555447	327	23:44:43
86950.0%	869500	3073.0799999554974	328	23:44:45
87000.0%	870000	3075.07999995545	325	23:44:35
87050.0%	870500	3077.079999955403	326	23:44:38
87100.0%	871000	3079.0799999553556	327	23:44:40
87150.0%	871500	3081.0799999553083	327	23:44:42
87200.0%	872000	3083.079999955261	325	23:44:33
87250.0%	872500	3085.0799999552137	325	23:44:35
87300.0%	873000	3087.0799999551664	326	23:44:36
87350.0%	873500	3089.079999955119	327	23:44:38
87400.0%	874000	3091.079999955072	328	23:44:40
87450.0%	874500	3093.0799999550245	325	23:44:32
87500.0%	875000	3095.079999954977	326	23:44:34
87550.0%	875500	3097.07999995493	327	23:44:35
87600.0%	876000	3099.0799999548826	327	23:44:37
87650.0%	876500	3101.0799999548353	328	23:44:38
87700.0%	877000	3103.079999954788	326	23:44:31
87750.0%	877500	3105.0799999547407	326	23:44:33
87800.0%	878000	3107.0799999546934	327	23:44:34
87850.0%	878500	3109.079999954646	328	23:44:35
87900.0%	879000	3111.079999954599	328	23:44:36
87950.0%	879500	3113.0799999545516	326	23:44:30
88000.0%	880000	3115.0799999545043	327	23:44:31
88050.0%	880500	3117.079999954457	328	23:44:32
88100.0%	881000	3119.0799999544097	328	23:44:33
88150.0%	881500	3121.0799999543624	326	23:44:27
88200.0%	882000	3123.079999954315	327	23:44:28
88250.0%	882500	3125.079999954268	327	23:44:29
88300.0%	883000	3127.0799999542205	328	23:44:30
88350.0%	883500	3129.079999954173	328	23:44:31
88400.0%	884000	3131.079999954126	326	23:44:26
88450.0%	884500	3133.0799999540786	327	23:44:26
88500.0%	885000	3135.0799999540313	327	23:44:27
88550.0%	885500	3137.079999953984	328	23:44:28
88600.0%	886000	3139.0799999539367	328	23:44:29
88650.0%	886500	3141.0799999538895	327	23:44:24
88700.0%	887000	3143.079999953842	327	23:44:24
88750.0%	887500	3145.079999953795	328	23:44:25
88800.0%	888000	3147.0799999537476	328	23:44:26
88850.0%	888500	3149.0799999537003	326	23:44:21
88900.0%	889000	3151.079999953653	327	23:44:22
88950.0%	889500	3153.0799999536057	327	23:44:23
89000.0%	890000	3155.0799999535584	328	23:44:23
89050.0%	890500	3157.079999953511	328	23:44:24
89100.0%	891000	3159.079999953464	327	23:44:19
89150.0%	891500	3161.0799999534165	327	23:44:20
89200.0%	892000	3163.079999953369	328	23:44:21
89250.0%	892500	3165.079999953322	328	23:44:21
89300.0%	893000	3167.0799999532746	328	23:44:22
89350.0%	893500	3169.0799999532273	327	23:44:17
89400.0%	894000	3171.07999995318	327	23:44:18
89450.0%	894500	3173.0799999531328	328	23:44:18
89500.0%	895000	3175.0799999530855	328	23:44:19
89550.0%	895500	3177.079999953038	329	23:44:20
89600.0%	896000	3179.079999952991	327	23:44:15
89650.0%	896500	3181.0799999529436	328	23:44:16
89700.0%	897000	3183.0799999528963	328	23:44:16
89750.0%	897500	3185.079999952849	328	23:44:17
89800.0%	898000	3187.0799999528017	329	23:44:17
89850.0%	898500	3189.0799999527544	327	23:44:13
89900.0%	899000	3191.079999952707	328	23:44:13
89950.0%	899500	3193.07999995266	328	23:44:14
90000.0%	900000	3195.0799999526125	328	23:44:14
90050.0%	900500	3197.0799999525652	329	23:44:14
90100.0%	901000	3199.079999952518	327	23:44:10
90150.0%	901500	3201.0799999524706	328	23:44:11
90200.0%	902000	3203.0799999524233	328	23:44:11
90250.0%	902500	3205.079999952376	328	23:44:12
90300.0%	903000	3207.0799999523288	329	23:44:12
90350.0%	903500	3209.0799999522815	327	23:44:08
90400.0%	904000	3211.079999952234	328	23:44:09
90450.0%	904500	3213.079999952187	328	23:44:09
90500.0%	905000	3215.0799999521396	328	23:44:09
90550.0%	905500	3217.0799999520923	329	23:44:10
90600.0%	906000	3219.079999952045	328	23:44:06
90650.0%	906500	3221.0799999519977	328	23:44:06
90700.0%	907000	3223.0799999519504	328	23:44:07
90750.0%	907500	3225.079999951903	329	23:44:07
90800.0%	908000	3227.079999951856	329	23:44:07
90850.0%	908500	3229.0799999518085	328	23:44:04
90900.0%	909000	3231.0799999517612	328	23:44:04
90950.0%	909500	3233.079999951714	328	23:44:04
91000.0%	910000	3235.0799999516667	329	23:44:05
91050.0%	910500	3237.0799999516194	329	23:44:05
91100.0%	911000	3239.079999951572	328	23:44:01
91150.0%	911500	3241.0799999515248	328	23:44:02
91200.0%	912000	3243.0799999514775	328	23:44:02
91250.0%	912500	3245.07999995143	329	23:44:02
91300.0%	913000	3247.079999951383	329	23:44:02
91350.0%	913500	3249.0799999513356	328	23:43:59
91400.0%	914000	3251.0799999512883	328	23:43:59
91450.0%	914500	3253.079999951241	328	23:43:59
91500.0%	915000	3255.0799999511937	329	23:44:00
91550.0%	915500	3257.0799999511464	329	23:44:00
91600.0%	916000	3259.079999951099	328	23:43:56
91650.0%	916500	3261.079999951052	328	23:43:57
91700.0%	917000	3263.0799999510045	328	23:43:57
91750.0%	917500	3265.0799999509572	329	23:43:57
91800.0%	918000	3267.07999995091	329	23:43:57
91850.0%	918500	3269.0799999508627	328	23:43:54
91900.0%	919000	3271.0799999508154	328	23:43:54
91950.0%	919500	3273.079999950768	329	23:43:54
92000.0%	920000	3275.079999950721	329	23:43:55
92050.0%	920500	3277.0799999506735	329	23:43:55
92100.0%	921000	3279.079999950626	328	23:43:52
92150.0%	921500	3281.079999950579	328	23:43:52
92200.0%	922000	3283.0799999505316	329	23:43:52
92250.0%	922500	3285.0799999504843	329	23:43:52
92300.0%	923000	3287.079999950437	329	23:43:52
92350.0%	923500	3289.0799999503897	328	23:43:49
92400.0%	924000	3291.0799999503424	328	23:43:49
92450.0%	924500	3293.079999950295	329	23:43:49
92500.0%	925000	3295.079999950248	329	23:43:49
92550.0%	925500	3297.0799999502005	329	23:43:50
92600.0%	926000	3299.0799999501533	328	23:43:47
92650.0%	926500	3301.079999950106	328	23:43:47
92700.0%	927000	3303.0799999500587	329	23:43:47
92750.0%	927500	3305.0799999500114	329	23:43:47
92800.0%	928000	3307.079999949964	329	23:43:47
92850.0%	928500	3309.079999949917	328	23:43:44
92900.0%	929000	3311.0799999498695	329	23:43:44
92950.0%	929500	3313.079999949822	329	23:43:44
93000.0%	930000	3315.079999949775	329	23:43:44
93050.0%	930500	3317.0799999497276	329	23:43:44
93100.0%	931000	3319.0799999496803	328	23:43:42
93150.0%	931500	3321.079999949633	329	23:43:42
93200.0%	932000	3323.0799999495857	329	23:43:42
93250.0%	932500	3325.0799999495384	329	23:43:41
93300.0%	933000	3327.079999949491	329	23:43:41
93350.0%	933500	3329.079999949444	328	23:43:39
93400.0%	934000	3331.0799999493966	328	23:43:39
93450.0%	934500	3333.0799999493493	329	23:43:39
93500.0%	935000	3335.079999949302	329	23:43:39
93550.0%	935500	3337.0799999492547	329	23:43:39
93600.0%	936000	3339.0799999492074	328	23:43:36
93650.0%	936500	3341.07999994916	328	23:43:36
93700.0%	937000	3343.079999949113	329	23:43:36
93750.0%	937500	3345.0799999490655	329	23:43:36
93800.0%	938000	3347.079999949018	329	23:43:36
93850.0%	938500	3349.079999948971	328	23:43:33
